country_code,n_records_gbif
ABW,318819
AFG,69158
AGO,231895
AIA,241244
ALA,1827031
ALB,144428
AND,170447
ARE,1962937
ARG,17173658
ARM,242972
ASM,373340
ATA,4652842
ATF,236339
ATG,96699
AUS,185056645
AUT,15651286
AZE,261890
BDI,88251
BEL,41453234
BEN,1098645
BES,374423
BFA,231649
BGD,760744
BGR,2740511
BHR,27180
BHS,1097960
BIH,98558
BLM,19159
BLR,654859
BLZ,7607199
BMU,687827
BOL,2492113
BRA,31925373
BRB,181235
BRN,56851
BTN,733994
BWT,NA
BWA,1051799
CAF,92958
CAN,208431359
CCK,34812
CHE,30787703
CHL,12329812
CHN,10797048
CIV,480634
CMR,755291
COD,827898
COG,115013
COK,56398
COL,37891035
COM,34086
CPV,157382
CRI,36438665
CUB,2123721
CUW,411881
CXR,158633
CYM,420601
CYP,647634
CZE,5318174
DEU,72867372
DJI,34590
DMA,93015
DNK,64070667
DOM,929525
DZA,335414
ECU,13906426
EGY,605690
ERI,16199
ESH,250047
ESP,80295981
EST,8660767
ETH,1030222
FIN,49605021
FJI,307746
FLK,278633
FRA,197318517
FRO,323257
FSM,142767
GAB,779146
GBR,197099088
GEO,1331319
GGY,338745
GHA,1144377
GIB,52038
GIN,221830
GLP,800755
GMB,847406
GNB,81013
GNQ,111792
GRC,4019030
GRD,178262
GRL,556091
GTM,5309876
GUF,955350
GUM,154348
GUY,971675
HMD,211931
HND,3804515
HRV,1274963
HTI,196826
HUN,2226224
IDN,3461687
IMN,1760878
IND,63405359
IOT,37064
IRL,6772743
IRN,950279
IRQ,76252
ISL,2535418
ISR,8032038
ITA,8596491
JAM,774317
JEY,221050
JOR,169042
JPN,9498049
KAZ,539064
KEN,5061091
KGZ,253583
KHM,1151595
KIR,164855
KNA,52065
KOR,5804209
KWT,344027
LAO,275575
LBN,188858
LBR,168860
LBY,47441
LCA,113137
LIE,97620
LKA,2686318
LSO,129555
LTU,1479823
LUX,3410536
LVA,893274
MAC,83052
MAF,85971
MAR,1739193
MCO,7526
MDA,131574
MDG,2752006
MDV,108809
MEX,35031404
MHL,120857
MKD,169132
MLI,166691
MLT,99495
MMR,355471
MNE,174675
MNG,682323
MNP,267704
MOZ,729364
MRT,179825
MSR,54606
MTQ,287700
MUS,119868
MWI,339834
MYS,3807159
MYT,98493
NAM,1685447
NCL,782696
NER,86417
NFK,104850
NGA,968953
NIC,2282505
NIU,80165
NLD,131925629
NOR,57718467
NPL,1718650
NRU,4889
NZL,16738213
OMN,679599
PAK,642427
PAN,9429025
PCN,19145
PER,10590352
PHL,2461275
PLW,216168
PNG,1823577
POL,16895211
PRI,3180113
PRK,48412
PRT,21577967
PRY,1549436
PSE,625030
PYF,512993
QAT,163536
REU,829738
ROU,1476076
RUS,16713126
RWA,475270
SAU,596195
SDN,99280
SEN,766969
SGP,1974943
SGS,372363
SHN,57604
SJM,1564857
SLB,195772
SLE,83701
SLV,1424116
SMR,3148
SOM,56726
SPM,82161
SRB,1587634
SSD,29287
STP,120535
SUR,516979
SVK,1921788
SVN,921594
SWE,148209979
SWZ,269591
SXM,47264
SYC,270528
SYR,317170
TCA,80430
TCD,71414
TGO,97254
THA,7521400
TJK,95908
TKL,61030
TKM,24320
TLS,97706
TON,136810
TTO,1301249
TUN,215896
TUR,4032077
TUV,9775
TWN,24746056
TZA,2938933
UGA,2653186
UKR,3931392
UMI,379493
URY,2015445
USA,1204958934
UZB,148530
VAT,5363
VCT,70211
VEN,5106997
VGB,71095
VIR,452875
VNM,976584
VUT,174554
WLF,47824
WSM,52353
XKX,NA
YEM,132452
ZAF,43822362
ZMB,1011804
ZWE,949544
